year,sex,highest_qualification,labour_force
2013,males,diploma and professional qualification,213800
2013,males,degree,362000
2013,females,primary and below,108300
2013,females,lower secondary,66000
2013,females,secondary,195900
2013,females,post-secondary (non-tertiary),93700
2013,females,diploma and professional qualification,180200
2013,females,degree,311600
2014,males,primary and below,143100
2014,males,lower secondary,101500
2014,males,secondary,197700
2014,males,post-secondary (non-tertiary),153800
2014,males,diploma and professional qualification,230500
2014,males,degree,375900
2014,females,primary and below,107700
2014,females,lower secondary,67400
2014,females,secondary,192400
2014,females,post-secondary (non-tertiary),96500
2014,females,diploma and professional qualification,195600
2014,females,degree,323000
2015,males,primary and below,140900
2015,males,lower secondary,95000
2015,males,secondary,205300
2015,males,post-secondary (non-tertiary),163200
2015,males,diploma and professional qualification,230900
2015,males,degree,380800
2015,females,primary and below,109700
2015,females,lower secondary,61600
2015,females,secondary,201500
2015,females,post-secondary (non-tertiary),104500
2015,females,diploma and professional qualification,200200
2015,females,degree,338700
